"","region","Country","Overall score","Legal measure","Technical measure","Organizational measure","Capacity Development","Cooperative measure"
"1","Africa region","Angola (Republic of)",12.99,6.7,0,0,0,6.3
"2","Africa region","Botswana (Republic of)",53.06,16.44,4.95,14.16,13.23,4.26
"3","Africa region","Burundi (Republic of)",1.73,1.73,0,0,0,0
"4","Africa region","Cameroon (Republic of)",45.63,9.84,8.54,5.67,9.95,11.63
"5","Africa region","Chad (Republic of)",40.44,13.43,0.73,6.5,7.67,12.11
"6","Africa region","Côte d'Ivoire (Republic of)",67.82,17.95,14.65,12.14,11.53,11.55
"7","Africa region","Equatorial Guinea (Republic of)",1.46,1.46,0,0,0,0
"8","Africa region","Eswatini (Kingdom of)",18.23,4.96,0,3.49,3.47,6.31
"9","Africa region","Gabonese Republic",11.38,4.24,0.73,1.69,0.46,4.26
"10","Africa region","Ghana",86.69,19.35,18.48,17.78,15.44,15.63
"11","Africa region","Guinea-Bissau (Republic of)",9.85,0,0,0,1.52,8.33
"12","Africa region","Lesotho (Kingdom of)",9.08,7.82,0,0,1.26,0
"13","Africa region","Madagascar (Republic of)",23.33,8.96,4.11,3,3.47,3.78
"14","Africa region","Mali (Republic of)",10.14,5.89,0,0,0,4.26
"15","Africa region","Mozambique (Republic of)",24.181,7.46,8.19,4.62,3.92,0
"16","Africa region","Niger (Republic of the)",11.36,5.87,0,0,1.23,4.26
"17","Africa region","Rwanda (Republic of)",79.95,20,13,16.83,16.3,13.82
"18","Africa region","Senegal (Republic of)",35.85,7.82,10.5,6.66,4.58,6.3
"19","Africa region","Sierra Leone",25.31,6.54,4.11,8.16,2.24,4.26
"20","Africa region","South Sudan (Republic of)",5.75,2.63,0,0,0,3.12
"21","Africa region","Togolese Republic",33.19,19.19,4.9,3.61,0,5.49
"22","Africa region","Zambia (Republic of)",68.88,20,13.82,15.86,8.07,11.12
"23","Americas region","Antigua and Barbuda",15.62,11.36,0,0,0,4.26
"24","Americas region","Bahamas (Commonwealth of the)",13.37,12.85,0,0,0.52,0
"25","Americas region","Belize",10.29,5.77,0,3.01,1.52,0
"26","Americas region","Brazil (Federative Republic of)",96.6,20,18.73,18.98,19.48,19.41
"27","Americas region","Chile",68.83,17.2,9.39,15.84,11.07,15.33
"28","Americas region","Costa Rica",67.45,17.62,9.14,12.66,12.11,15.93
"29","Americas region","Dominica (Commonwealth of)",4.2,0.85,0,3.35,0,0
"30","Americas region","Ecuador",26.3,10.22,9.55,0,6.53,0
"31","Americas region","Grenada",9.41,9.41,0,0,0,0
"32","Americas region","Guyana",28.11,13.12,2.5,6.47,2.24,3.78
"33","Americas region","Honduras (Republic of)",2.2,2.2,0,0,0,0
"34","Americas region","Mexico",81.68,15.61,17.9,14.7,16.13,17.34
"35","Americas region","Panama (Republic of)",34.11,10.41,10.94,2.37,6.12,4.26
"36","Americas region","Peru",55.67,20,11.58,5.63,5.32,13.15
"37","Americas region","Saint Lucia",10.96,6.7,0,0,0,4.26
"38","Americas region","Suriname (Republic of)",31.2,11.13,7.04,1.69,7.08,4.26
"39","Americas region","United States of America",100,20,20,20,20,20
"40","Americas region","Venezuela (Bolivarian Republic of)",27.06,8.8,7.67,6.17,4.41,0
"41","Arab States region","Algeria (People's Democratic Republic of)",33.95,12.46,2.73,1.44,10.07,7.25
"42","Arab States region","Comoros (Union of the)",3.72,0,0,1.69,0,2.04
"43","Arab States region","Egypt (Arab Republic of)",95.48,20,17.45,20,19.12,18.91
"44","Arab States region","Jordan (Hashemite Kingdom of)",70.96,18.53,10.74,15.7,11.47,14.51
"45","Arab States region","Lebanon",30.44,10.24,3.27,5.69,8.26,2.99
"46","Arab States region","Mauritania (Islamic Republic of)",18.94,12.55,0,6.39,0,0
"47","Arab States region","Oman (Sultanate of)",96.04,20,16.64,20,20,19.41
"48","Arab States region","Qatar (State of)",94.5,20,16.64,18.46,20,19.41
"49","Arab States region","Somalia (Federal Republic of)",17.25,0,3.25,6.17,1.52,6.31
"50","Arab States region","Syrian Arab Republic",22.14,9.8,7.85,4.49,0,0
"51","Arab States region","United Arab Emirates",98.06,20,19.08,18.98,20,20
"52","Asia-Pacific region","Afghanistan",5.2,0.4,1.46,3.35,0,0
"53","Asia-Pacific region","Bangladesh (People's Republic of)",81.27,14.86,16.77,16.39,17.03,16.22
"54","Asia-Pacific region","Brunei Darussalam",56.07,14.06,14.19,10.84,12.85,4.12
"55","Asia-Pacific region","China (People's Republic of)",92.53,20,17.94,16.63,19.04,18.91
"56","Asia-Pacific region","Fiji (Republic of)",29.08,5.99,4.11,6.59,8.31,4.07
"57","Asia-Pacific region","Indonesia (Republic of)",94.88,18.48,19.08,17.84,19.48,20
"58","Asia-Pacific region","Korea (Republic of)",98.52,20,19.54,18.98,20,20
"59","Asia-Pacific region","Kiribati (Republic of)",13.84,6.64,0,3.13,0,4.07
"60","Asia-Pacific region","Malaysia",98.06,20,19.08,18.98,20,20
"61","Asia-Pacific region","Marshall Islands (Republic of the)",4.9,0.83,0,0,0,4.07
"62","Asia-Pacific region","Mongolia",26.2,9,6.02,3.13,1.23,6.82
"63","Asia-Pacific region","Nauru (Republic of)",21.42,9.91,0,0,3.18,8.33
"64","Asia-Pacific region","New Zealand",84.04,19.24,14.19,17.27,17.71,15.63
"65","Asia-Pacific region","Papua New Guinea",26.33,9.26,2.18,0,7.3,7.59
"66","Asia-Pacific region","Samoa (Independent State of)",29.33,11.15,0.73,13.37,0,4.07
