"","Country","Rank","National Cyber Security Index","Digital Development Level","Difference","Population_million","NCSI_perc","Area_KM","GDP_per_capita_thousand","ICT_Development_Index_perc","Networked_Readiness_Index_perc","1. Cyber security policy development perc","1.1. Cyber security policy unit","1.2. Cyber security policy coordination format","1.3. Cyber security strategy","1.4. Cyber security strategy implementation plan","2. Cyber threat analysis and information perc","2.1. Cyber threats analysis unit","2.2. Public cyber threat reports are published annually","2.3. Cyber safety and security website","3. Education and professional development perc","3.1. Cyber safety competencies in primary or secondary education","3.2. Bachelor’s level cyber security programme","3.3. Master’s level cyber security programme","3.4. PhD level cyber security programme","3.5. Cyber security professional association","4. Contribution to global cyber security perc","4.1. Convention on Cybercrime","4.2. Representation in international cooperation formats","4.3. International cyber security organisation hosted by the country","4.4. Cyber security capacity building for other countries","5. Protection of digital services perc","5.1. Cyber security responsibility for digital service providers","5.2. Cyber security standard for the public sector","5.3. Competent supervisory authority","6. Protection of essential services perc","6.1. Operators of essential services are identified","6.2. Cyber security requirements for operators of essential services","6.3. Competent supervisory authority","6.4. Regular monitoring of security measures","7. E-identification and trust services perc","7.1. Unique persistent identifier","7.2. Requirements for cryptosystems","7.3. Electronic identification","7.4. Electronic signature","7.5. Timestamping","7.6. Electronic registered delivery service","7.7. Competent supervisory authority","8. Protection of personal data perc","8.1. Personal data protection legislation","8.2. Personal data protection authority","9. Cyber incidents response perc","9.1. Cyber incidents response unit","9.2. Reporting responsibility","9.3. Single point of contact for international coordination","10. . Cyber crisis management perc","10.1. Cyber crisis management plan","10.2. National-level cyber crisis management exercise","10.3. Participation in international cyber crisis exercises","10.4. Operational support of volunteers in cyber crises","11. . Fight against cybercrime perc","11.1. Cybercrimes are criminalised","11.2. Cybercrime unit","11.3. Digital forensics unit","11.4. / contact point for international cybercrime","12. . Military cyber operations perc","12.1. Cyber operations unit","12.2. Cyber operations exercise","12.3. Participation in international cyber exercises"
"1","Afghanistan",138,11.69,19.5,-7.81,27.7,12,652200,1.9,20,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0,0,0,0,0,0,0,44,1,0,3,24,0,0,0,0
"2","Albania",49,62.34,48.74,13.6,2.9,62,28700,13.2,51,46,100,3,2,1,1,0,0,0,0,56,1,0,2,0,2,50,1,1,0,1,60,0,0,3,83,1,1,3,0,89,1,0,1,1,1,1,3,100,1,3,100,3,1,2,20,0,0,1,0,67,1,3,0,24,0,0,0,0
"3","Algeria",94,33.77,42.81,-9.04,40.4,34,2400000,15.3,47,39,43,3,0,0,0,20,0,0,1,44,0,2,2,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,67,1,0,1,1,0,0,3,100,1,3,50,3,0,0,0,0,0,0,0,44,1,3,0,24,0,0,0,0
"4","Angola",150,9.09,22.69,-13.6,25.9,9,1200000,6.9,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,3,17,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
"5","Antigua and Barbuda",140,11.69,57.1,-45.41,0.1,12,400,29.3,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,17,1,0,0,0,11,0,0,0,1,0,0,0,100,1,3,0,0,0,0,0,0,0,0,0,11,1,0,0,24,17,0,0,1
"6","Argentina",46,63.64,60.43,3.21,43.6,64,2800000,21.4,68,53,86,3,2,1,0,40,0,1,1,78,1,2,2,0,2,33,1,1,0,0,20,0,1,0,17,1,0,0,0,56,1,0,0,1,0,0,3,100,1,3,50,3,0,0,60,0,2,1,0,100,1,3,3,24,100,3,2,1
"7","Armenia",91,35.06,55.06,-20,3,35,29700,9.1,58,53,0,0,0,0,0,0,0,0,0,22,0,2,0,0,0,33,1,1,0,0,0,0,0,0,0,0,0,0,0,78,1,0,1,1,0,1,3,100,1,3,50,3,0,0,0,0,0,0,0,100,1,3,3,24,0,0,0,0
"8","Australia",40,66.23,77.61,-11.38,24.1,66,7700000,51.5,82,73,100,3,2,1,1,100,3,1,1,100,1,2,2,2,2,50,1,1,0,1,20,0,1,0,17,1,0,0,0,11,0,0,0,1,0,0,0,100,1,3,50,3,0,0,80,1,2,1,0,100,1,3,3,24,67,3,0,1
"9","Austria",33,68.83,75.76,-6.93,8.7,69,83900,51.9,80,71,100,3,2,1,1,40,0,1,1,89,0,2,2,2,2,33,1,1,0,0,20,0,1,0,17,1,0,0,0,89,0,1,1,1,1,1,3,100,1,3,83,3,0,2,60,0,2,1,0,100,1,3,3,24,50,0,2,1
"10","Azerbaijan",52,59.74,54.78,4.96,9.7,60,86600,17.9,62,48,29,0,2,0,0,80,3,0,1,89,0,2,2,2,2,33,1,1,0,0,0,0,0,0,100,1,1,3,1,78,1,0,1,1,1,0,3,25,1,0,50,3,0,0,20,0,0,1,0,100,1,3,3,24,50,3,0,0
"11","Bahamas",119,20.78,65.1,-44.32,0.4,21,13900,33.5,65,0,0,0,0,0,0,0,0,0,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,11,0,0,0,1,0,0,0,100,1,3,0,0,0,0,0,0,0,0,0,78,1,3,3,24,17,0,0,1
"12","Bahrain",109,25.97,65.17,-39.2,1.4,26,800,52,76,54,0,0,0,0,0,20,0,0,1,44,0,0,2,0,2,17,0,1,0,0,0,0,0,0,0,0,0,0,0,56,1,0,1,1,1,1,0,100,1,3,0,0,0,0,0,0,0,0,0,44,1,3,0,24,17,0,0,1
"13","Bangladesh",35,67.53,33.11,34.42,161,68,147600,4.5,25,41,86,3,2,1,0,100,3,1,1,78,1,0,2,2,2,17,0,1,0,0,20,0,1,0,83,1,0,3,1,78,1,0,1,1,1,0,3,0,0,0,83,3,0,2,60,0,2,1,0,100,1,3,3,24,50,3,0,0
"14","Barbados",123,19.48,73.1,-53.62,0.3,19,400,18.8,73,0,0,0,0,0,0,20,0,0,1,22,0,0,0,0,2,17,0,1,0,0,0,0,0,0,17,1,0,0,0,22,1,0,0,1,0,0,0,100,1,3,0,0,0,0,0,0,0,0,0,44,1,3,0,24,0,0,0,0
"15","Belarus",68,53.25,62.33,-9.08,9.5,53,207600,19.2,76,49,71,3,2,0,0,60,3,0,0,56,1,2,0,2,0,17,0,1,0,0,0,0,0,0,100,1,1,3,1,78,1,1,0,1,0,1,3,100,1,3,50,3,0,0,0,0,0,0,0,44,1,3,0,24,50,3,0,0
"16","Belgium",2,94.81,74.07,20.74,11.3,95,30500,44.9,78,70,86,3,2,1,0,100,3,1,1,100,1,2,2,2,2,100,1,1,3,1,100,1,1,3,100,1,1,3,1,100,1,1,1,1,1,1,3,100,1,3,100,3,1,2,40,1,0,1,0,100,1,3,3,24,100,3,2,1
"17","Belize",126,18.18,37.1,-18.92,0.4,18,23000,8.6,37,0,29,0,0,1,1,20,0,0,1,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,100,1,3,0,0,0,0,0,0,0,0,0,44,1,3,0,24,17,0,0,1
"18","Benin",56,58.44,25.83,32.61,10.7,58,112600,2.3,19,32,86,3,2,1,0,0,0,0,0,67,0,2,2,0,2,33,0,1,0,1,60,0,0,3,67,1,0,3,0,78,1,0,1,1,1,0,3,100,1,3,50,3,0,0,20,0,0,1,0,100,1,3,3,24,0,0,0,0
"19","Bhutan",125,18.18,36.9,-18.72,0.8,18,38400,9.8,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,20,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,25,1,0,50,3,0,0,60,0,2,1,0,44,1,3,0,24,0,0,0,0
"20","Bolivia",100,31.17,42.09,-10.92,11,31,1100000,7.9,43,41,43,3,0,0,0,0,0,0,0,22,0,0,0,0,2,17,0,1,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,1,0,0,0,0,0,0,83,3,0,2,20,0,0,1,0,78,1,3,3,24,50,3,0,0
"21","Bosnia and Herzegovina",105,28.57,49.31,-20.74,3.5,29,51200,13.4,54,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,1,0,0,0,0,0,0,0,0,0,0,0,67,1,0,0,1,1,0,3,100,1,3,0,0,0,0,20,0,0,1,0,100,1,3,3,24,0,0,0,0
"22","Botswana",102,29.87,41.96,-12.09,2.1,30,582000,18.9,46,38,14,0,0,1,0,0,0,0,0,44,0,2,0,0,2,17,0,1,0,0,0,0,0,0,17,1,0,0,0,44,0,0,0,1,0,0,3,100,1,3,50,3,0,0,20,0,0,1,0,44,1,0,3,24,0,0,0,0
"23","Brazil",69,51.95,59.11,-7.16,206.1,52,8500000,16.2,61,57,86,3,2,1,0,80,3,0,1,67,0,2,2,0,2,17,0,1,0,0,0,0,0,0,17,1,0,0,0,44,0,0,0,1,0,0,3,100,1,3,50,3,0,0,20,0,0,1,0,44,1,3,0,24,100,3,2,1
"24","Brunei Darussalam",83,41.56,67.5,-25.94,0.4,42,5800,77.7,68,0,0,0,0,0,0,40,0,1,1,78,1,2,2,2,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,56,1,0,0,1,0,0,3,100,1,3,83,3,0,2,20,0,0,1,0,78,1,3,3,24,0,0,0,0
"25","Bulgaria",27,74.03,62.06,11.97,7.2,74,110900,21.6,69,56,71,3,2,0,0,80,3,0,1,100,1,2,2,2,2,33,1,1,0,0,40,1,1,0,50,1,1,0,1,89,1,0,1,1,1,1,3,100,1,3,100,3,1,2,20,1,0,0,0,100,1,3,3,24,67,3,0,1
"26","Burundi",153,7.79,18.64,-10.85,10.1,8,27800,0.8,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,44,1,3,0,24,0,0,0,0
"27","Cambodia",132,15.58,34.59,-19.01,15.6,16,181000,4.3,33,36,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,83,3,0,2,0,0,0,0,0,44,1,3,0,24,0,0,0,0
"28","Cameroon",97,32.47,28.28,4.19,22.7,32,475400,3.4,24,33,43,3,0,0,0,20,0,0,1,67,0,2,2,0,2,17,0,1,0,0,80,1,0,3,0,0,0,0,0,11,0,0,0,1,0,0,0,25,1,0,67,3,1,0,0,0,0,0,0,44,1,0,3,24,0,0,0,0
