"","Name","Selection_data_per_level","Selection_relevant_data","area","Thematic category"
"1","AUTHORITY // High",1,1,"Political","Politics and society"
"2","AUTHORITY // Low",1,1,"Political","Politics and society"
"3","AUTHORITY // Medium",1,1,"Political","Politics and society"
"4","AUTONOMY // 0.3-0.7",1,1,"Ethical","Perceptions of life"
"5","AUTONOMY // 0.7-1",1,1,"Ethical","Perceptions of life"
"6","AUTONOMY // 0-0.3",1,1,"Ethical","Perceptions of life"
"7","Autonomy Index // 0",1,1,"Ethical","Perceptions of life"
"8","Autonomy Index // 1",1,1,"Ethical","Perceptions of life"
"9","Autonomy Index // -1",1,1,"Ethical","Perceptions of life"
"10","Autonomy Index // Determination, perseverance/Independence",1,1,"Ethical","Perceptions of life"
"11","Autonomy Index // Missing",0,0,"not_selected",NA
"12","CHOICE // 0.3-0.7",1,1,"Ethical","Perceptions of life"
"13","CHOICE // 0.7-1",1,1,"Ethical","Perceptions of life"
"14","CHOICE // 0-0.3",1,1,"Ethical","Perceptions of life"
"15","DEFIANCE // 0.3-0.7",1,1,"Political","National identity"
"16","DEFIANCE // 0.7-1",1,1,"Political","National identity"
"17","DEFIANCE // 0-0.3",1,1,"Political","National identity"
"18","Emancipative Values // 0.1-0.2",1,1,"Social","Perceptions of life"
"19","Emancipative Values // 0.2-0.3",1,1,"Social","Perceptions of life"
"20","Emancipative Values // 0.3-0.4",1,1,"Social","Perceptions of life"
"21","Emancipative Values // 0.4-0.5",1,1,"Social","Perceptions of life"
"22","Emancipative Values // 0.5-0.6",1,1,"Social","Perceptions of life"
"23","Emancipative Values // 0.6-0.7",1,1,"Social","Perceptions of life"
"24","Emancipative Values // 0.7-0.8",1,1,"Social","Perceptions of life"
"25","Emancipative Values // 0.8-0.9",1,1,"Social","Perceptions of life"
"26","Emancipative Values // 0.9-1",1,1,"Social","Perceptions of life"
"27","Emancipative Values // 0-0.1",1,1,"Social","Perceptions of life"
"28","Emancipative Values // No",1,1,"Social","Family"
"29","Emancipative Values // Yes",1,1,"Social","Family"
"30","IMAGIN // No",1,1,"Ethical","Family"
"31","IMAGIN // Yes",1,1,"Ethical","Family"
"32","INDEP // No",1,1,"Ethical","Family"
"33","INDEP // Yes",1,1,"Ethical","Family"
"34","NATIONALISM // High",1,1,"Political","National identity"
"35","NATIONALISM // Low",1,1,"Political","National identity"
"36","NATIONALISM // Very high",1,1,"Political","National identity"
"37","NATIONALISM // Very low",1,1,"Political","National identity"
"38","NORM1 // Conformist",1,1,"Ethical","Politics and society"
"39","NORM1 // Inconformist",1,1,"Ethical","Politics and society"
