"","attribute","question","details","id","variable_type","Variable","Title","SELECTION","area"
"1","version","Version of Data File",NA,1,"Technical Variables",NA,NA,0,"not selected"
"2","doi","Digital Object Identifier",NA,2,"Technical Variables",NA,NA,0,"not selected"
"3","A_WAVE","Wave",NA,3,"Technical Variables","S002VS","Chronology of EVS-WVS waves",0,"not selected"
"4","A_YEAR","Year of survey",NA,4,"Technical Variables","S020","Year survey",0,"not selected"
"5","A_STUDY","Study",NA,5,"Technical Variables",NA,NA,0,"not selected"
"6","B_COUNTRY","ISO 3166-1 numeric country code",NA,6,"Technical Variables","S003","ISO 3166-1 numeric country code",0,"not selected"
"7","B_COUNTRY_ALPHA","ISO 3166-1 alpha-3 country code",NA,7,"Technical Variables","COUNTRY_ALPHA","ISO 3166-1 alpha-3 country code",0,"not selected"
"8","C_COW_NUM","CoW country code numeric",NA,8,"Technical Variables","COW_NUM","CoW country code numeric",0,"not selected"
"9","C_COW_ALPHA","CoW country code alpha",NA,9,"Technical Variables","COW_ALPHA","CoW country code alpha",0,"not selected"
"10","D_INTERVIEW","Interview ID",NA,10,"Technical Variables",NA,NA,0,"not selected"
"11","S007","Unified respondent number",NA,11,"Technical Variables","S007","Unified respondent number",0,"not selected"
"12","J_INTDATE","Date of interview",NA,12,"Technical Variables","S012","Date interview",0,"not selected"
"13","FW_END","Year/month of end-fieldwork",NA,13,"Technical Variables","S023","Year/month of end-fieldwork",0,"not selected"
"14","FW_START","Year/month of start-fieldwork",NA,14,"Technical Variables","S022","Year/month of start-fieldwork",0,"not selected"
"15","K_TIME_START","Start time of the interview [HH.MM]",NA,15,"Technical Variables","S011A","Time of the interview - Start",0,"not selected"
"16","K_TIME_END","End time of the interview [HH.MM]",NA,16,"Technical Variables","S011B","Time at the end of interview",0,"not selected"
"17","K_DURATION","Total length of interview [minutes]",NA,17,"Technical Variables","S010","Total length of interview",0,"not selected"
"18","Q_MODE","Mode of data collection",NA,18,"Technical Variables","MODE","Mode of data collection",0,"not selected"
"19","N_REGION_ISO","Region ISO 3166-2",NA,19,"Technical Variables","X048ISO","Region ISO 3166-2",0,"not selected"
"20","N_REGION_WVS","Region country specific",NA,20,"Technical Variables","X048WVS","Region where the interview was conducted (WVS)",0,"not selected"
"21","N_REGION_NUTS2","Region NUTS-2",NA,21,"Technical Variables",NA,NA,0,"not selected"
"22","reg_nuts1","Region where the interview was conducted (NUTS-1)",NA,22,"Technical Variables",NA,NA,0,"not selected"
"23","N_TOWN","Settlement name",NA,23,"Technical Variables",NA,NA,0,"not selected"
"24","G_TOWNSIZE","Settlement size_8 groups",NA,24,"Technical Variables","X049","Settlement size",0,"not selected"
"25","G_TOWNSIZE2","Settlement size_5 groups",NA,25,"Technical Variables","X049A","Settlement size_5 groups",0,"not selected"
"26","H_SETTLEMENT","Settlement type",NA,26,"Technical Variables","X050B","Settlement type where interview was conducted",0,"not selected"
"27","H_URBRURAL","Urban-Rural",NA,27,"Technical Variables","X050C","Urban/Rural habitat",0,"not selected"
"28","L_INTERVIEWER_NUMBER","Interviewer number",NA,28,"Technical Variables","S008","Interviewer number",0,"not selected"
"29","I_PSU","Primary Sampling Unit ID",NA,29,"Technical Variables",NA,NA,0,"not selected"
"30","O1_LONGITUDE","Geographical Coordinates - Longitude",NA,30,"Technical Variables",NA,NA,0,"not selected"
"31","O2_LATITUDE","Geographical Coordinates - Latitude",NA,31,"Technical Variables",NA,NA,0,"not selected"
"32","S_INTLANGUAGE","Language in which interview was conducted",NA,32,"Technical Variables","S016B","Language in which interview was conducted",0,"not selected"
"33","LNGE_ISO","Language in which interview was conducted  (ISO 639-1 Alpha 2 digit)",NA,33,"Technical Variables",NA,NA,0,"not selected"
"34","E_RESPINT","Respondent interested during the interview",NA,34,"Technical Variables","S013","Respondent interested during the interview",0,"not selected"
"35","F_INTPRIVACY","Interview privacy",NA,35,"Technical Variables","S013B","Interview privacy",0,"not selected"
"36","E1_LITERACY","Respondent's literacy",NA,36,"Technical Variables",NA,NA,0,"not selected"
"37","W_WEIGHT","Weight",NA,37,"Technical Variables","S017","Numeric variable. This weight is aimed at adjusting some sociodemographic characteristics in the sample population to the distribution of the target population. It has been computed using the marginal distribution of Age, Sex, Education and Region",0,"not selected"
"38","S018","Equilibration weight-1000",NA,38,"Technical Variables","S018","Equilibrated weight-1000. Numeric variable [makes the sample size of all countries equal to the same amount of N=1000]. Equilibrated weights have been calculated using the formula: 1.000/sample size. Equilibrated weight can be used when all countries and territories involved in the analysis are required to be treated as equal units, regardless of their population or sample size. The weights to be used are the product of the W_WEIGHT and S018.",0,"not selected"
"39","S025","Country - year",NA,39,"Technical Variables","S025","Country - year",0,"not selected"
"40","Q1","Important in life","Family",40,"Core Variables - Social Values, Norms, Stereotypes","A001","Important in life: Family",1,"Social"
"41","Q2","Important in life","Friends",41,"Core Variables - Social Values, Norms, Stereotypes","A002","Important in life: Friends",1,"Social"
"42","Q3","Important in life","Leisure time",42,"Core Variables - Social Values, Norms, Stereotypes","A003","Important in life: Leisure time",1,"Social"
"43","Q4","Important in life","Politics",43,"Core Variables - Social Values, Norms, Stereotypes","A004","Important in life: Politics",1,"Social"
"44","Q5","Important in life","Work",44,"Core Variables - Social Values, Norms, Stereotypes","A005","Important in life: Work",1,"Social"
"45","Q6","Important in life","Religion",45,"Core Variables - Social Values, Norms, Stereotypes","A006","Important in life: Religion",1,"Social"
"46","Q7","Important child qualities","good manners",46,"Core Variables - Social Values, Norms, Stereotypes","A027","Important child qualities: Good manners",1,"Social"
"47","Q8","Important child qualities","independence",47,"Core Variables - Social Values, Norms, Stereotypes","A029","Important child qualities: independence",1,"Social"
"48","Q9","Important child qualities","hard work",48,"Core Variables - Social Values, Norms, Stereotypes","A030","Important child qualities: Hard work",1,"Social"
"49","Q10","Important child qualities","feeling of responsibility",49,"Core Variables - Social Values, Norms, Stereotypes","A032","Important child qualities: feeling of responsibility",1,"Social"
"50","Q11","Important child qualities","imagination",50,"Core Variables - Social Values, Norms, Stereotypes","A034","Important child qualities: imagination",1,"Social"
"51","Q12","Important child qualities","tolerance and respect for other people",51,"Core Variables - Social Values, Norms, Stereotypes","A035","Important child qualities: tolerance and respect for other people",1,"Social"
"52","Q13","Important child qualities","thrift saving money and things",52,"Core Variables - Social Values, Norms, Stereotypes","A038","Important child qualities: thrift saving money and things",1,"Social"
"53","Q14","Important child qualities","determination perseverance",53,"Core Variables - Social Values, Norms, Stereotypes","A039","Important child qualities: determination perseverance",1,"Social"
"54","Q15","Important child qualities","religious faith",54,"Core Variables - Social Values, Norms, Stereotypes","A040","Important child qualities: religious faith",1,"Social"
"55","Q16","Important child qualities","unselfishness",55,"Core Variables - Social Values, Norms, Stereotypes","A041","Important child qualities: unselfishness",1,"Social"
"56","Q17","Important child qualities","obedience",56,"Core Variables - Social Values, Norms, Stereotypes","A042","Important child qualities: obedience",1,"Social"
"57","Q18","Neighbors","Drug addicts",57,"Core Variables - Social Values, Norms, Stereotypes","A124_08","Neighbours: Drug addicts",0,"not selected"
"58","Q19","Neighbors","People of a different race",58,"Core Variables - Social Values, Norms, Stereotypes","A124_02","Neighbours: People of a different race",0,"not selected"
"59","Q20","Neighbors","People who have AIDS",59,"Core Variables - Social Values, Norms, Stereotypes","A124_07","Neighbours: People who have AIDS",0,"not selected"
"60","Q21","Neighbors","Immigrants/foreign workers",60,"Core Variables - Social Values, Norms, Stereotypes","A124_06","Neighbours: Immigrants/foreign workers",0,"not selected"
